NAME,TYPE,TEAM,URL,DESCRIPTION,OWNER,STATUS,LATEST STATUS UPDATE TITLE,LATEST STATUS UPDATE,POSTED BY,POSTED ON,OVERDUE TASKS,COMPLETED TASKS,INCOMPLETE TASKS,PROGRESS,START DATE,DUE DATE,CONNECTED GOALS,Prioridad,Condición de pago ,Incotems,Pais,fECHA PREVISTA DE SALIDA,Calendario Produccion
"50001579- ""XEMORTIZ C. MEXICANA""",Project,,https://app.asana.com/1/402967058777498/project/1216769310026482,,Francisca Alejandra Ramos Aravales,On track,"50001579- ""XEMORTIZ C. MEXICANA"" - 21 jul",Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-07-22,0,0,12,0%,2026-09-01,2026-09-01,,,,,Mexico,,
"50001577- ""XEMORTIZ LA CANTERA""",Project,,https://app.asana.com/1/402967058777498/project/1216769310026176,,Francisca Alejandra Ramos Aravales,On track,"50001577- ""XEMORTIZ LA CANTERA"" - 21 jul",Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-07-22,0,0,12,0%,2026-09-01,2026-09-01,,,,,Mexico,,
"50001576- ""XEMORTIZ FIRST MAJESTIC""",Project,,https://app.asana.com/1/402967058777498/project/1216730497556427,,Francisca Alejandra Ramos Aravales,On track,"50001576- ""XEMORTIZ FIRST MAJESTIC"" - 21 jul",Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-07-21,0,0,12,0%,2026-09-01,2026-09-01,,,,,"Mexico

",,
"50001420  XEMORTIZ, S.A. DE  C.V ",Project,,https://app.asana.com/1/402967058777498/project/1216314054389097,,Nicolás,,,,,,0,6,7,46%,,,,,,,,,
"50001448 - 50001435 - ""XEMORTIZ IMMSA SAN MARTIN""",Project,,https://app.asana.com/1/402967058777498/project/1215927804444462,,Nicolás,,,,,,0,10,3,77%,,,,,,,,,
50001569 - EUROHINCA,Project,,https://app.asana.com/1/402967058777498/project/1216208608300132,,Francisca Alejandra Ramos Aravales,On track,50001569 - EUROHINCA - 3 jul,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-07-03,0,3,11,21%,,2026-07-29,,Media,,,Chile,,
50001566 - XEMORTIZ,Project,,https://app.asana.com/1/402967058777498/project/1215922055649550,,Francisca Alejandra Ramos Aravales,On track,50001566 - XEMORTIZ - 22 jun,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-06-22,0,5,7,42%,2026-08-04,2026-08-04,,Baja,,,Mexico,,
"50001563 - ""ZITRON COLOMBIA ANTIOQUIA""",Project,,https://app.asana.com/1/402967058777498/project/1215727332551578,,Carlos Pérez,On track,"50001563 - ""ZITRON COLOMBIA ANTIOQUIA"" - 15 jun",Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-06-15,0,6,6,50%,2026-07-13,2026-07-13,,Alta,,,Colombia,,
50001559 - FERROVIAL,Project,,https://app.asana.com/1/402967058777498/project/1215504785832997,,Francisca Alejandra Ramos Aravales,On track,50001559 - FERROVIAL - 9 jun,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-06-09,0,6,8,43%,2026-07-06,2026-07-06,,Alta,30 dias,,Chile,,
50001558 -  GESVIAL,Project,,https://app.asana.com/1/402967058777498/project/1215137857526702,,Francisca Alejandra Ramos Aravales,On track,50001558 -  GESVIAL - 1 jun,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-06-01,0,5,8,38%,,2026-07-15,,Alta,30 dias,,Chile,,
